"station";"BV";"Latitude";"Longitude";"Pression_anthro";"nb_individus";"nb_ordres";"nb_familles";"nb_sous_famille";"ng_genres";"nb_sp";"nb_regimes_trophiques";"nb_dosages_isotopie";"nb_dosages_elt_traces";"nb_dosages_Hg";"masse_mediane_poissons_Hg_g";"min_Hg";"max_Hg";"moyenne_Hg";"sd_Hg";"nb_Hg_carni_invert";"moyenne_Hg_carni_invert";"sd_Hg_carni_invert";"min_Hg_carni_invert";"max_Hg_carni_invert";"nb_Hg_omni_invert";"moyenne_Hg_omni_invert";"sd_Hg_omni_invert";"min_Hg_omni_invert";"max_Hg_omni_invert"
"Crique_Saul";"SINNAMARY";4.52854;-52.94499;"Reference";1543;4;19;22;44;62;9;84;0;146;6.78;0.1414;2.5856;0.7376113;0.508594;44;0.7158375;0.6099324;0.1414;2.5856;50;0.832341;0.48339126;0.2323;2.2422
"Crique_Singe_Rouge";"KOUROU";4.95;-52.625;NA;191;5;13;10;22;25;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_SM";"OYAPOCK";3.8587;-51.87103;"Piste";182;6;14;11;19;22;5;62;0;59;10.2;0.1616;2.5553;0.5719767;0.4324152;21;0.4343;0.2505737;0.17675;0.93425;32;0.6112867;0.46103314;0.1616;2.5553
"Crique_Tawin";"COMTE";4.31006;-52.39636;"Orpaillage_ancien";154;4;11;13;20;22;6;50;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Tortue";"APPROUAGUES";4.2101;-52.49145;"Orpaillage_ancien";19;4;5;6;7;8;4;18;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Toussaint";"SINNAMARY";5.30908;-53.05873;"Piste";679;6;16;11;26;34;7;0;0;40;1.69;0.404;2.55025;0.92415;0.4159136;11;0.9067045;0.4682435;0.52015;2.21695;26;0.906475;0.40603821;0.404;2.55025
"Crique_Trois_Sauts_Amont";"OYAPOCK";2.47833;-52.87405;"Reference_Trois_Sauts";447;5;15;16;30;36;9;0;21;59;10.9;0.011281;1.505888;0.4352107;0.2690962;18;0.3973804;0.2190614;0.191523;0.868497;23;0.4340887;0.21850683;0.178155;0.939147
"Crique_Trois_Sauts_Aval";"OYAPOCK";2.47833;-52.87405;"Reference_Trois_Sauts";1378;5;19;20;44;55;11;0;52;83;13.9;0.092233;1.645525;0.3941777;0.2287976;7;0.7325564;0.5254167;0.280185;1.645525;39;0.384237;0.1522079;0.204501;0.840449
"Crique_Violette";"MANA";4.73665;-53.95892;"Orpaillage_ancien";183;3;6;10;16;17;7;47;0;37;5.33;0.37875;5.7065;1.0697811;0.8532238;3;0.6144167;0.2043431;0.37875;0.74235;25;1.06151;0.31699227;0.6161;1.8079
"Tete_Crique_Tortue";"APPROUAGUES";4.19344;-52.527;NA;66;3;5;8;9;10;4;20;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Voltalia_2";"MANA";5.3427;-53.66158;"Barrage";120;5;11;8;16;17;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Voltalia_3";"MANA";5.35789;-53.66336;"Barrage";362;5;9;8;12;12;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Voltalia_4";"MANA";5.37639;-53.663;"Barrage";98;5;13;9;19;19;4;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
